id,chat,message_id,date,url,views,reaction_count,reaction_breakdown,text,sender_id,label,topics,primaryTopic,topics_ollama_raw,locations_ranked,tagging_error,tagged_at,tagging_model
patriotfrontupdates:25396,patriotfrontupdates,25396,2026-06-10T00:11:00+00:00,https://t.me/patriotfrontupdates/25396,148,0,{},"@PatriotFrontNews » Activists from Network 15 assembled in Troy, Michigan on Memorial Day to honor the memory of the Polar Bear Division, and the Americans who fought against the Bolshevik uprising in World War I.

See other Memorial Day actions in Virginia and Texas.

⭐️ Submit your application today:
patriotfront.us/join",-1001478154831,,"[""Street Mobilization"", ""Symbols"", ""Ideology"", ""Conflict""]",Street Mobilization,"[""Street Mobilization"", ""Symbols"", ""Ideology"", ""Conflict""]",[],,2026-06-10T09:42:02.592923+00:00,sentence-transformers/paraphrase-multilingual-mpnet-base-v2
patriotfrontupdates:25392,patriotfrontupdates,25392,2026-06-10T00:11:00+00:00,https://t.me/patriotfrontupdates/25392,153,0,{},"@PatriotFrontNews » Activists from Network 10 placed posters in Queens, New York.

🗺️ Activism circumvents digital censorship to transform the public space, promoting patriotic politics and combating anti-national messaging.

🇺🇸 Visit our FAQ section:
patriotfront.us/#faq",-1001478154831,,"[""Censorship Claims"", ""Street Mobilization"", ""Media Criticism"", ""Symbols""]",Censorship Claims,"[""Censorship Claims"", ""Street Mobilization"", ""Media Criticism"", ""Symbols""]",[],,2026-06-10T09:42:02.592923+00:00,sentence-transformers/paraphrase-multilingual-mpnet-base-v2
patriotfrontupdates:25388,patriotfrontupdates,25388,2026-06-10T00:11:00+00:00,https://t.me/patriotfrontupdates/25388,127,0,{},"@PatriotFrontNews » Activists from Network 11 placed stencils in Omaha, Nebraska.

🇺🇸 See our pages and interviews:
patriotfront.us/social/",-1001478154831,,"[""Symbols"", ""Street Mobilization"", ""Censorship Claims"", ""Media Criticism""]",Symbols,"[""Symbols"", ""Street Mobilization"", ""Censorship Claims"", ""Media Criticism""]",[],,2026-06-10T09:42:02.592923+00:00,sentence-transformers/paraphrase-multilingual-mpnet-base-v2
patriotfrontupdates:25387,patriotfrontupdates,25387,2026-06-10T00:11:00+00:00,https://t.me/patriotfrontupdates/25387,152,0,{},"@PatriotFrontNews » LIVE UPDATE: Activists from Network 11 are currently protesting in Pine City, Minnesota where a homosexual “pride” festival is being marketed towards children as “family fun.”

Such events are an affront to the family, to virtue, and antithetical to the necessary morals of the nation. Patriots must affirm their right to protest, demand the removal of this obscenity from the public space, and work towards the eradication of the cultural decay that facilitates them.",-1001478154831,,"[""Street Mobilization"", ""Censorship Claims"", ""Ideology"", ""Media Criticism""]",Street Mobilization,"[""Street Mobilization"", ""Censorship Claims"", ""Ideology"", ""Media Criticism""]",[],,2026-06-10T09:42:02.592923+00:00,sentence-transformers/paraphrase-multilingual-mpnet-base-v2
patriotfrontupdates:25386,patriotfrontupdates,25386,2026-06-10T00:11:00+00:00,https://t.me/patriotfrontupdates/25386,141,0,{},"@PatriotFrontNews » LIVE UPDATE: Activists from Network 11 are currently protesting in Pine City, Minnesota where a homosexual “pride” festival is being marketed towards children as “family fun.”

Such events are an affront to the family, to virtue, and antithetical to the necessary morals of the nation. Patriots must affirm their right to protest, demand the removal of this obscenity from the public space, and work towards the eradication of the cultural decay that facilitates them.",-1001478154831,,"[""Street Mobilization"", ""Censorship Claims"", ""Ideology"", ""Media Criticism""]",Street Mobilization,"[""Street Mobilization"", ""Censorship Claims"", ""Ideology"", ""Media Criticism""]",[],,2026-06-10T09:42:02.592923+00:00,sentence-transformers/paraphrase-multilingual-mpnet-base-v2
patriotfrontupdates:25382,patriotfrontupdates,25382,2026-06-10T00:10:59+00:00,https://t.me/patriotfrontupdates/25382,156,0,{},"@PatriotFrontNews » Activists from Network 21 placed a banner in Everett, Washington.

⭐️ Submit your application today:
patriotfront.us/join",-1001478154831,,"[""Street Mobilization"", ""Ideology"", ""Symbols"", ""Censorship Claims""]",Street Mobilization,"[""Street Mobilization"", ""Ideology"", ""Symbols"", ""Censorship Claims""]",[],,2026-06-10T09:42:02.592923+00:00,sentence-transformers/paraphrase-multilingual-mpnet-base-v2
patriotfrontupdates:25377,patriotfrontupdates,25377,2026-06-10T00:10:59+00:00,https://t.me/patriotfrontupdates/25377,221,0,{},"@PatriotFrontNews » Activists from Network 11 placed a banner in Grand Island, Nebraska.

🇺🇸 See what we do, and why:
patriotfront.us/action",-1001478154831,,"[""Street Mobilization"", ""Censorship Claims"", ""Symbols"", ""Ideology""]",Street Mobilization,"[""Street Mobilization"", ""Censorship Claims"", ""Symbols"", ""Ideology""]",[],,2026-06-10T09:42:02.592923+00:00,sentence-transformers/paraphrase-multilingual-mpnet-base-v2
patriotfrontupdates:25372,patriotfrontupdates,25372,2026-06-06T15:39:11+00:00,https://t.me/patriotfrontupdates/25372,456,0,{},"@PatriotFrontNews » Activists from Network 5 placed stencils in Rock Springs, Wyoming.

🇺🇸 Read a summary of PF's beliefs:
patriotfront.us/",-1001478154831,,"[""Symbols"", ""Street Mobilization"", ""Ideology"", ""Censorship Claims""]",Symbols,"[""Symbols"", ""Street Mobilization"", ""Ideology"", ""Censorship Claims""]",[],,2026-06-10T09:42:02.592923+00:00,sentence-transformers/paraphrase-multilingual-mpnet-base-v2
patriotfrontupdates:25367,patriotfrontupdates,25367,2026-06-06T15:39:10+00:00,https://t.me/patriotfrontupdates/25367,298,0,{},"@PatriotFrontNews » Activists from Network 9 placed posters in Richmond, Virginia.

🇺🇸 See our latest action:
patriotfront.us/action",-1001478154831,,"[""Street Mobilization"", ""Censorship Claims"", ""Symbols"", ""Media Criticism""]",Street Mobilization,"[""Street Mobilization"", ""Censorship Claims"", ""Symbols"", ""Media Criticism""]",[],,2026-06-10T09:42:02.592923+00:00,sentence-transformers/paraphrase-multilingual-mpnet-base-v2
patriotfrontupdates:25364,patriotfrontupdates,25364,2026-06-06T15:39:10+00:00,https://t.me/patriotfrontupdates/25364,241,0,{},"@PatriotFrontNews » Activists from Network 6 placed a banner on a cliff overlooking Birmingham, Alabama.

🇺🇸 Submit your application today:
patriotfront.us/join",-1001478154831,,"[""Street Mobilization"", ""Symbols"", ""Censorship Claims"", ""Ideology""]",Street Mobilization,"[""Street Mobilization"", ""Symbols"", ""Censorship Claims"", ""Ideology""]",[],,2026-06-10T09:42:02.592923+00:00,sentence-transformers/paraphrase-multilingual-mpnet-base-v2
