id,label,chat,message_id,date,views,reaction_count,url
jungenationalisten:4698,Wir wünschen euch einen schönen ersten Advent!  @jungenationalisten 🇩🇪  Kommt gut durch diese verrückte Zeit und bleibt ,jungenationalisten,4698,2025-11-30T13:13:53+00:00,2098,73,https://t.me/jungenationalisten/4698
jungenationalisten:4697,Ein Gruß aus der Hauptstadt!  Die deutsche Jugend erhebt sich – auch in der Hauptstadt – entschlossen für Kultur und gel,jungenationalisten,4697,2025-11-29T13:50:48+00:00,1606,126,https://t.me/jungenationalisten/4697
jungenationalisten:4696,"Guten Morgen allerseits. Um ca 5 Uhr geht’s los, teilt gern den Beitrag   https://www.youtube.com/live/ppfv5Mk4Pdo?si=qJ",jungenationalisten,4696,2025-11-29T08:59:27+00:00,1681,23,https://t.me/jungenationalisten/4696
jungenationalisten:4695,📢 🤝 Kommt heute zum letzten Offenen Abend des Jahres im Ruhrgebiet - um 19.30 Uhr geht es los!  Adresse auf Anfrage: Nut,jungenationalisten,4695,2025-11-28T09:54:54+00:00,1935,31,https://t.me/jungenationalisten/4695
jungenationalisten:4694,Nur noch 3 Tage... 📢 DEMO IN BERLIN! 🇩🇪  ✊🏻 Betrüger und kriminelle Ausländer raus! ✊🏻  Kommt nach Berlin und setzt mit ,jungenationalisten,4694,2025-11-28T07:05:51+00:00,1494,57,https://t.me/jungenationalisten/4694
jungenationalisten:4692,,jungenationalisten,4692,2025-11-26T10:26:21+00:00,2278,0,https://t.me/jungenationalisten/4692
jungenationalisten:4691,,jungenationalisten,4691,2025-11-26T10:26:21+00:00,2359,0,https://t.me/jungenationalisten/4691
jungenationalisten:4690,"""Macher suchen Macher"" und ""Umweltschutz von rechts"" - unter diesem Motto wurden vergangenes Wochenende in Mansfeld-Südh",jungenationalisten,4690,2025-11-26T10:26:21+00:00,2291,78,https://t.me/jungenationalisten/4690
jungenationalisten:4689,🎅Nikolausmarkt am 06.12.2025 bei PC Records in Chemnitz 🎅  Es ist wieder so weit:  Das Jahr neigt sich dem Ende und PC R,jungenationalisten,4689,2025-11-25T12:22:24+00:00,1958,49,https://t.me/jungenationalisten/4689
jungenationalisten:4688,,jungenationalisten,4688,2025-11-24T10:40:09+00:00,2422,0,https://t.me/jungenationalisten/4688
jungenationalisten:4687,,jungenationalisten,4687,2025-11-24T10:40:08+00:00,2691,0,https://t.me/jungenationalisten/4687
jungenationalisten:4686,,jungenationalisten,4686,2025-11-24T10:40:08+00:00,2649,0,https://t.me/jungenationalisten/4686
jungenationalisten:4685,Zusammenhalt und Aktivismus im Einsatz! @jungenationalisten 🇩🇪   Am vergangenen Freitag versammelten sich die Mitglieder,jungenationalisten,4685,2025-11-24T10:40:08+00:00,2314,72,https://t.me/jungenationalisten/4685
jungenationalisten:4680,Montag 01.12.2025 ab 19Uhr  Offener Abend in der Region Elm-Lappwald  Lockeres Kennenlernen & Vernetzen zwischen poltisc,jungenationalisten,4680,2025-11-23T16:47:29+00:00,2294,55,https://t.me/jungenationalisten/4680
jungenationalisten:4679,"Jugend aus MuP zu uns! @jungenationalisten  In einer Zeit des Zerfalls unserer Heimat durch fehlgeleitete Politik, stehe",jungenationalisten,4679,2025-11-21T20:10:21+00:00,2819,64,https://t.me/jungenationalisten/4679
jungenationalisten:4678,,jungenationalisten,4678,2025-11-21T11:20:01+00:00,2760,0,https://t.me/jungenationalisten/4678
jungenationalisten:4677,,jungenationalisten,4677,2025-11-21T11:20:01+00:00,2909,0,https://t.me/jungenationalisten/4677
jungenationalisten:4676,,jungenationalisten,4676,2025-11-21T11:20:01+00:00,2586,0,https://t.me/jungenationalisten/4676
jungenationalisten:4675,,jungenationalisten,4675,2025-11-21T11:20:00+00:00,2368,0,https://t.me/jungenationalisten/4675
jungenationalisten:4674,,jungenationalisten,4674,2025-11-21T11:20:00+00:00,2352,0,https://t.me/jungenationalisten/4674
jungenationalisten:4673,,jungenationalisten,4673,2025-11-21T11:20:00+00:00,2048,0,https://t.me/jungenationalisten/4673
jungenationalisten:4672,,jungenationalisten,4672,2025-11-21T11:20:00+00:00,2083,0,https://t.me/jungenationalisten/4672
